transaction_id,date,merchant,description,amount,currency,payment_method,location,notes
TXN1022,2025-01-01,Uber,Uber,144.25,USD,Credit Card,"Chicago, IL",
TXN1052,2025-02-11,Payroll - Employee,Payroll - Employee,3500.5,USD,Debit Card,"Chicago, IL",Business expense
TXN1002,2025-03-01,Office Depot,Office Depot,10.09,USD,Credit Card,"New York, NY",
TXN1004,2025-02-16,CVS Pharmacy,CVS Pharmacy,60.17,USD,Debit Card,"Chicago, IL",
TXN1068,2025-03-16,Chipotle,Chipotle,23.0,USD,Credit Card,"Austin, TX",
TXN1080,2025-02-14,Amazon Business,Amazon Business,109.85,USD,Cash,"Austin, TX",
TXN1091,2025-02-04,Electric Co,Electric Co,24.65,USD,Credit Card,"San Francisco, CA",
TXN1005,2025-02-20,Walmart,Walmart,15.11,USD,Bank Transfer,"Boston, MA",
TXN1054,2025-02-24,United Airlines,United Airlines,227.74,USD,Cash,"Austin, TX",Business expense
TXN1020,2025-02-11,McDonald's,McDonald's,106.85,USD,Credit Card,"New York, NY",Business expense
TXN1000,2025-03-13,Starbucks,Starbucks,30.18,USD,Credit Card,"Boston, MA",Business expense
TXN2004,2025-01-25,Starbucks,Starbucks Coffee,45.67,USD,Credit Card,"San Francisco, CA",Team meeting
